Gene Symbol,Gene ID,Disease Name,Disease ID,Direct Evidence,Inference Network,Inference Score,Reference Count
CYP3A5,1577,Schizophrenia,MESH:D012559,,Alprazolam|Amitriptyline|Cannabidiol|Carbamazepine|Chlorpromazine|Clozapine|Dehydroepiandrosterone|Fluoxetine|Glucocorticoids|Haloperidol|norclozapine|oxcarbazepine|Phencyclidine|Phenobarbital|Reserpine|Risperidone|Smoke|Trazodone|Valproic Acid,44.64,314
BAX,581,Schizophrenia,MESH:D012559,,"Homocysteine|Amitriptyline|Dextroamphetamine|Amphetamine|benserazide, levodopa drug combination|Bromocriptine|Caffeine|Carbamazepine|Clozapine|Cocaine|Copper|Cytarabine|Dehydroepiandrosterone|Diazepam|Dopamine|Folic Acid|Haloperidol|Calcifediol|Ketamine|Lipopolysaccharides|Lithium|Methamphetamine|Methionine|Minocycline|Norepinephrine|olanzapine|Phenobarbital|Plant Preparations|Propranolol|Pyridoxine|Quetiapine Fumarate|Reserpine|Smoke|Tetrachloroethylene|Trifluoperazine|Valproic Acid|Vitamin A",44.50,311
GFAP,2670,Schizophrenia,MESH:D012559,,"gamma-Aminobutyric Acid|Amitriptyline|Dextroamphetamine|Amphetamine|benserazide, levodopa drug combination|Caffeine|Clozapine|Cocaine|Copper|Fluoxetine|Folic Acid|Calcifediol|Ketamine|Lipopolysaccharides|Methamphetamine|Methionine|Phencyclidine|Tetrachloroethylene|Valproic Acid|Venlafaxine Hydrochloride",43.57,163
GAD1,2571,Schizophrenia,MESH:D012559,marker/mechanism,gamma-Aminobutyric Acid|Amphetamine|Antipsychotic Agents|Carbamazepine|Chlorpromazine|Clozapine|Cocaine|Diazepam|Fluoxetine|Haloperidol|Ketamine|Methionine|olanzapine|Propranolol|Reserpine|Sulpiride|Valproic Acid,43.36,295
CREB1,1385,Schizophrenia,MESH:D012559,,Dextroamphetamine|Amphetamine|Caffeine|Cannabidiol|Clozapine|Cocaine|Copper|Diazepam|Dopamine|Epinephrine|Fluoxetine|Folic Acid|Haloperidol|Imipramine|Lipopolysaccharides|Methionine|olanzapine|Phenobarbital|Plant Preparations|Propranolol|Sertraline|Valproic Acid|Vitamin A,43.22,272
JUN,3725,Schizophrenia,MESH:D012559,,Dextroamphetamine|Amphetamine|Apomorphine|Caffeine|Carbamazepine|Clozapine|Cocaine|Copper|Cytarabine|Dehydroepiandrosterone|Diazepam|Dopamine|Fluoxetine|Folic Acid|Haloperidol|Ketamine|Lipopolysaccharides|Lithium|Methamphetamine|Methionine|Minocycline|Norepinephrine|Phenobarbital|Plant Preparations|Reserpine|Sertraline|Smoke|Tetrachloroethylene|Valproic Acid|Vitamin D,42.18,249
MAOA,4128,Schizophrenia,MESH:D012559,,Amitriptyline|Caffeine|Carbamazepine|Cocaine|Copper|Dopamine|Epinephrine|Fluoxetine|Folic Acid|Haloperidol|Methamphetamine|Methionine|Norepinephrine|olanzapine|Phenobarbital|Risperidone|Sertraline|Smoke|Valproic Acid,41.43,223
NUPR1,26471,Schizophrenia,MESH:D012559,,Amitriptyline|Caffeine|Cannabidiol|Chlorpromazine|Clozapine|Cocaine|Copper|Fluoxetine|Folic Acid|Haloperidol|Imipramine|Lipopolysaccharides|Methionine|Phenobarbital|Sertraline|Smoke|Thioridazine|Valproic Acid,41.38,251
CNR1,1268,Schizophrenia,MESH:D012559,marker/mechanism,"Dextroamphetamine|Aripiprazole|benserazide, levodopa drug combination|Cannabidiol|Cocaine|Cytarabine|Diazepam|Epinephrine|Fluoxetine|Folic Acid|Imipramine|Ketamine|Lipopolysaccharides|Methamphetamine|Methionine|Reserpine|Valproic Acid|Venlafaxine Hydrochloride",41.10,38
DRD1,1812,"Schizophrenia, Paranoid",MESH:D012563,,Amitriptyline|Carbamazepine|Chlorpromazine|Clozapine|Fluphenazine|Haloperidol|Loxapine|olanzapine|Perphenazine|Risperidone,40.92,54
TAC1,6863,Schizophrenia,MESH:D012559,marker/mechanism,Dextroamphetamine|Amphetamine|Apomorphine|Cannabidiol|Carbamazepine|Clozapine|Cocaine|Copper|Cytarabine|Diazepam|Dopamine|Fluphenazine|Haloperidol|Imipramine|Lipopolysaccharides|Lithium|Methamphetamine|Phencyclidine|Reserpine|Valproic Acid,40.78,254
BCL2,596,Schizophrenia,MESH:D012559,,"Homocysteine|Amitriptyline|Dextroamphetamine|Amphetamine|benserazide, levodopa drug combination|Carbamazepine|Clonidine|Clozapine|Cocaine|Copper|Cytarabine|Dehydroepiandrosterone|Dopamine|Fluoxetine|Folic Acid|Glucocorticoids|Haloperidol|Calcifediol|lamotrigine|Lipopolysaccharides|Lithium|Methamphetamine|Methionine|Minocycline|Norepinephrine|olanzapine|Phenobarbital|Pimozide|Propranolol|Reserpine|Sertraline|Smoke|Tetrachloroethylene|Trifluoperazine|Valproic Acid|Venlafaxine Hydrochloride|Vitamin A",40.67,296
GDPD3,79153,Schizophrenia,MESH:D012559,,Amitriptyline|Chlorpromazine|Clozapine|Copper|Fluoxetine|Folic Acid|Haloperidol|Imipramine|Sertraline|Smoke|Thioridazine|Valproic Acid,40.15,247
MAPK1,5594,Schizophrenia,MESH:D012559,,"S-Adenosylmethionine|Homocysteine|Dextroamphetamine|Amphetamine|benserazide, levodopa drug combination|Bromocriptine|Caffeine|Cannabidiol|Carbamazepine|Chlorpromazine|Clozapine|Cocaine|Copper|Dehydroepiandrosterone|Diazepam|Dopamine|Eicosapentaenoic Acid|Epinephrine|Fluoxetine|Folic Acid|Haloperidol|Imipramine|Ketamine|Lipopolysaccharides|Lithium|Methamphetamine|Methionine|Muscimol|Norepinephrine|Phenobarbital|Plant Preparations|Propranolol|Sertraline|Smoke|Trifluoperazine|Valproic Acid|Venlafaxine Hydrochloride|Vitamin A",39.98,273
SLC22A2,6582,"Schizophrenia, Paranoid",MESH:D012563,,Amitriptyline|Benztropine|Chlorpromazine|Clozapine|Diazepam|donepezil|Fluphenazine|Haloperidol|olanzapine|Perphenazine|Thioridazine,39.42,44
INS,3630,Schizophrenia,MESH:D012559,,Bromocriptine|Caffeine|Clonidine|Clozapine|Cocaine|Copper|Dopamine|Epinephrine|Haloperidol|Calcifediol|Lipopolysaccharides|Metoclopramide|Norepinephrine|olanzapine|Phenobarbital|Plant Preparations|Propranolol|Risperidone|Sertraline|Sulpiride|Valproic Acid|Vitamin A,39.31,332
SLC6A3,6531,Schizophrenia,MESH:D012559,marker/mechanism,Dextroamphetamine|Amphetamine|Benztropine|Caffeine|Carbamazepine|Clozapine|Cocaine|Dopamine|Fluoxetine|Haloperidol|Methamphetamine|Minocycline|modafinil|Norepinephrine|Reserpine|Sulpiride|Valproic Acid,38.98,236
SERPINI1,5274,Schizophrenia,MESH:D012559,,Cocaine|Copper|Fluoxetine|Folic Acid|Haloperidol|Imipramine|Lipopolysaccharides|Methionine|olanzapine|Sertraline|Smoke|Valproic Acid|Venlafaxine Hydrochloride,38.78,154
GABRA1,2554,Schizophrenia,MESH:D012559,,gamma-Aminobutyric Acid|Amitriptyline|Amphetamine|Carbamazepine|Clonidine|Clozapine|Cocaine|Diazepam|Haloperidol|Lipopolysaccharides|Lorazepam|Methamphetamine|Muscimol|oxcarbazepine|Phencyclidine|Valproic Acid,38.20,232
FOSB,2354,Schizophrenia,MESH:D012559,,"Dextroamphetamine|Amphetamine|benserazide, levodopa drug combination|Chlorpromazine|Clozapine|Cocaine|Copper|Fluoxetine|Folic Acid|Haloperidol|Lipopolysaccharides|Lithium|Methionine|Norepinephrine|Phencyclidine|Valproic Acid",38.10,252
MAOB,4129,Schizophrenia,MESH:D012559,marker/mechanism,Dextroamphetamine|Amphetamine|Aripiprazole|Carbamazepine|Clozapine|Cocaine|Dopamine|Haloperidol|Methamphetamine|Norepinephrine|olanzapine|Phencyclidine|Risperidone|Sertraline|Smoke|Valproic Acid|Vitamin B 12,37.92,337
COMT,1312,Schizophrenia,MESH:D012559,marker/mechanism,S-Adenosylmethionine|Homocysteine|Dextroamphetamine|Amphetamine|Aripiprazole|Clonidine|Clozapine|Dopamine|Epinephrine|Ketamine|Methamphetamine|modafinil|Norepinephrine|olanzapine|Phenobarbital|Plant Preparations|Risperidone|Valproic Acid,37.91,299
CYP2C19,1557,Schizophrenia,MESH:D012559,,Amitriptyline|Cannabidiol|Carbamazepine|Chlorpromazine|Clozapine|Diazepam|Eicosapentaenoic Acid|Fluoxetine|Fluphenazine|Imipramine|norclozapine|oxcarbazepine|Phencyclidine|Phenobarbital|Propranolol|Sertraline|Thioridazine|Valproic Acid|Venlafaxine Hydrochloride,37.66,194
CASP3,836,Schizophrenia,MESH:D012559,,"S-Adenosylmethionine|Alprazolam|Homocysteine|Amitriptyline|Amphetamine|benserazide, levodopa drug combination|Caffeine|Carbamazepine|Clonidine|Clozapine|Cocaine|Copper|Cytarabine|Dopamine|Eicosapentaenoic Acid|Epinephrine|Fluoxetine|Folic Acid|Glucocorticoids|Haloperidol|Imipramine|Ketamine|Lipopolysaccharides|Lithium|Lithium Carbonate|Methamphetamine|Methionine|Minocycline|Norepinephrine|Phencyclidine|Phenobarbital|Plant Preparations|Promethazine|Propranolol|Reserpine|Risperidone|Sertraline|Smoke|Tetrachloroethylene|Thioridazine|Trifluoperazine|Valproic Acid|Vitamin A",37.44,336
NR3C1,2908,Schizophrenia,MESH:D012559,marker/mechanism,Amitriptyline|Dextroamphetamine|Caffeine|Carbamazepine|Chlorpromazine|Clozapine|Cocaine|Dehydroepiandrosterone|Dopamine|Fluoxetine|Folic Acid|Glucocorticoids|lamotrigine|Lipopolysaccharides|Lithium|Methamphetamine|Methionine|Phenobarbital|Reserpine|Trifluoperazine|Valproic Acid|Venlafaxine Hydrochloride,37.37,186
HTR1A,3350,"Schizophrenia, Paranoid",MESH:D012563,,Amitriptyline|Aripiprazole|Carbamazepine|Chlorprothixene|Clozapine|Loxapine|Magnesium|Risperidone|ziprasidone,37.21,51
HTR2A,3356,"Schizophrenia, Paranoid",MESH:D012563,,Aripiprazole|Clozapine|Fluphenazine|Haloperidol|Loxapine|olanzapine|Quetiapine Fumarate|Risperidone|ziprasidone,36.93,58
MAPK3,5595,Schizophrenia,MESH:D012559,,"S-Adenosylmethionine|Homocysteine|Dextroamphetamine|Amphetamine|benserazide, levodopa drug combination|Bromocriptine|Caffeine|Cannabidiol|Chlorpromazine|Clozapine|Cocaine|Copper|Dehydroepiandrosterone|Diazepam|Dopamine|Eicosapentaenoic Acid|Epinephrine|Fluoxetine|Folic Acid|Haloperidol|Imipramine|Ketamine|Lipopolysaccharides|Lithium|Methionine|Muscimol|Norepinephrine|Phenobarbital|Plant Preparations|Propranolol|Sertraline|Smoke|Trifluoperazine|Valproic Acid|Venlafaxine Hydrochloride|Vitamin A",36.79,268
CYP2C9,1559,Schizophrenia,MESH:D012559,,Amitriptyline|Caffeine|Cannabidiol|Carbamazepine|Chlorpromazine|Clozapine|Cocaine|Copper|Dopamine|Eicosapentaenoic Acid|Fluoxetine|Fluphenazine|norclozapine|Phencyclidine|Phenobarbital|Plant Preparations|Propranolol|Sertraline|Thioridazine|Valproic Acid,36.26,196
WIPI1,55062,Schizophrenia,MESH:D012559,,Amitriptyline|Chlorpromazine|Clozapine|Copper|Fluoxetine|Folic Acid|Haloperidol|Imipramine|Methionine|Phenobarbital|Sertraline|Thioridazine|Valproic Acid,36.13,246
ASNS,440,Schizophrenia,MESH:D012559,,Amitriptyline|Caffeine|Carbamazepine|Chlorpromazine|Clozapine|Copper|Fluoxetine|Folic Acid|Haloperidol|Imipramine|Lipopolysaccharides|Methionine|Phenobarbital|Sertraline|Tetrachloroethylene|Thioridazine|Valproic Acid,35.49,250
TNF,7124,Schizophrenia,MESH:D012559,marker/mechanism,S-Adenosylmethionine|gamma-Aminobutyric Acid|Homocysteine|Amphetamine|Antipsychotic Agents|Bromocriptine|Caffeine|Cannabidiol|Carbamazepine|Chlorpromazine|Clonidine|Clozapine|Cocaine|Copper|Cytarabine|Dehydroepiandrosterone|Dopamine|Eicosapentaenoic Acid|Epinephrine|Fluoxetine|Folic Acid|Glucocorticoids|Haloperidol|Calcifediol|Imipramine|Ketamine|Lipopolysaccharides|Lithium|Methamphetamine|Methionine|Minocycline|Norepinephrine|Phencyclidine|Phenobarbital|Plant Preparations|Promethazine|Propranolol|Sertraline|Smoke|Tetrachloroethylene|Valproic Acid|Vitamin A|Vitamin B 12,35.38,277
CTNNB1,1499,Schizophrenia,MESH:D012559,,Amphetamine|Bromocriptine|Caffeine|Carbamazepine|Clozapine|Cocaine|Epinephrine|Fluoxetine|Folic Acid|Haloperidol|Lipopolysaccharides|Lithium|Methamphetamine|olanzapine|Phenobarbital|Plant Preparations|Risperidone|Smoke|Valproic Acid|Venlafaxine Hydrochloride|Vitamin A,35.26,336
EGR1,1958,Schizophrenia,MESH:D012559,,Dextroamphetamine|Amphetamine|Aripiprazole|Caffeine|Chlorpromazine|Clozapine|Cocaine|Copper|Diazepam|Fluoxetine|Folic Acid|Haloperidol|Lipopolysaccharides|Methamphetamine|Methionine|Norepinephrine|Phenobarbital|Propranolol|Reserpine|Risperidone|Smoke|Valproic Acid,35.26,329
CYP2D6,1565,"Schizophrenia, Paranoid",MESH:D012563,,Amitriptyline|Aripiprazole|Carbamazepine|Chlorpromazine|Clozapine|Haloperidol|Loxapine|Quetiapine Fumarate|Risperidone|Thioridazine,34.87,58
SLC18A2,6571,Schizophrenia,MESH:D012559,,Dextroamphetamine|Amphetamine|Carbamazepine|Clozapine|Cocaine|Dopamine|Folic Acid|Haloperidol|Methamphetamine|Methionine|Norepinephrine|Reserpine|Smoke|Valproic Acid,34.62,229
DRD4,1815,Schizophrenia,MESH:D012559,marker/mechanism,Clozapine|Cocaine|Copper|Dopamine|Folic Acid|Haloperidol|Methamphetamine|Methionine|olanzapine|Paliperidone Palmitate|Risperidone|Valproic Acid,34.07,326
RGS2,5997,Schizophrenia,MESH:D012559,,Amphetamine|Antipsychotic Agents|Caffeine|Cocaine|Copper|Folic Acid|Haloperidol|Ketamine|Lipopolysaccharides|Lithium|Methamphetamine|Methionine|Reserpine|Risperidone|Valproic Acid,33.67,197
TAGLN,6876,Schizophrenia,MESH:D012559,,Amitriptyline|Carbamazepine|Chlorpromazine|Clozapine|Copper|Cytarabine|Fluoxetine|Folic Acid|Haloperidol|Imipramine|Methionine|Phenobarbital|Sertraline|Thioridazine|Valproic Acid,33.67,248
GAD2,2572,Schizophrenia,MESH:D012559,marker/mechanism,gamma-Aminobutyric Acid|Clozapine|Cocaine|Diazepam|Fluoxetine|Haloperidol|Methamphetamine|olanzapine|Phencyclidine|Phenobarbital|Valproic Acid|Venlafaxine Hydrochloride,33.31,270
ARC,23237,Schizophrenia,MESH:D012559,,Dextroamphetamine|Amphetamine|Clozapine|Cocaine|Copper|Fluoxetine|Folic Acid|Haloperidol|Methamphetamine|Methionine|Reserpine|Valproic Acid|Venlafaxine Hydrochloride,33.11,230
DBH,1621,Schizophrenia,MESH:D012559,,Bromocriptine|Cocaine|Dopamine|Epinephrine|Fluoxetine|Folic Acid|lamotrigine|Methamphetamine|Norepinephrine|Reserpine|Sertraline|Valproic Acid,33.02,16
RELN,5649,Schizophrenia,MESH:D012559,marker/mechanism,Carbamazepine|Clozapine|Cocaine|Cytarabine|Fluoxetine|Haloperidol|Lithium|Methionine|olanzapine|Phencyclidine|Phenobarbital|Sulpiride|Valproic Acid,32.76,276
SYN2,6854,Schizophrenia,MESH:D012559,marker/mechanism,gamma-Aminobutyric Acid|Clozapine|Cocaine|Dopamine|Folic Acid|Haloperidol|Methamphetamine|Methionine|Phencyclidine|Valproic Acid|Venlafaxine Hydrochloride,32.74,228
CYP3A4,1576,"Schizophrenia, Paranoid",MESH:D012563,,Amitriptyline|Aripiprazole|Carbamazepine|Chlorpromazine|Clozapine|Diazepam|Fluphenazine|Haloperidol|Loxapine|Quetiapine Fumarate|Risperidone|Thioridazine,32.62,61
ABCB1,5243,"Schizophrenia, Paranoid",MESH:D012563,,Amitriptyline|Carbamazepine|Chlorpromazine|Clozapine|Haloperidol|Magnesium|olanzapine|Quetiapine Fumarate|Risperidone|Sulpiride|Trifluoperazine,32.21,60
